MeB_initial,ReB_initial,nB_initial,MeB_guess,ReB_guess,nB_guess,MeD_guess,ReD_guess,MeB_final,ReB_final,nB_final,MeD_final,ReD_final,MeB_stderr,ReB_stderr,nB_stderr,MeD_stderr,ReD_stderr,redchi
18.0,8.5,0.89999999999999991,16.2,7.6500000000000004,0.80999999999999994,23.1,9.9,18.035760642824549,8.4587182027087451,0.89658962235763529,20.553202859774636,9.2750192807336926,0.016496433780305905,0.012141828750509676,0.0016985262913887897,0.16789270701073894,0.053785181514554435,123.6401117606661
18.0,8.5,0.99999999999999989,16.2,7.6500000000000004,0.89999999999999991,23.1,9.9,18.253203316823587,8.3780276712497841,0.99942941771948068,19.413770482688285,8.9627708648652789,3.4501292605004403,0.93951474474876617,0.0021913384073693272,10.03017443837121,2.6805217440595004,139.08814734838253
18.0,8.5,1.0999999999999999,16.2,7.6500000000000004,0.98999999999999988,23.1,9.9,18.02441333936509,8.5731158488908221,1.1030138827728615,20.697198929489723,8.1327916663772886,0.023694913792528492,0.015621691715333412,0.0021005293217220555,0.27803921828609462,0.09505887629996268,122.52998730597614
18.0,8.5,1.1999999999999997,16.2,7.6500000000000004,1.0799999999999998,23.1,9.9,18.002426605493618,8.5459746895885402,1.2013811744801084,21.006262922447739,8.4661790021194818,0.0054638192499437115,0.010245762635697061,0.00097939999460783982,0.083928543437264927,0.13703822585572134,120.37298684950922
18.0,8.5,1.2999999999999998,16.2,7.6500000000000004,1.1699999999999999,23.1,9.9,18.001007638654038,8.5353146007845169,1.3010987890919148,21.03117227227321,8.646539256646367,0.0024357937498354037,0.0081506147475862538,0.00066726794710602157,0.036033973610530852,0.104632540792593,118.92589582562675
18.0,8.5,1.3999999999999999,16.2,7.6500000000000004,1.26,23.1,9.9,18.000937960385038,8.5297380560208005,1.4010086571030433,21.033118774618949,8.7411656554454247,0.0014911378843790494,0.0068996324292293701,0.00053763351623562102,0.020792627474748734,0.081012068610519308,117.92098044342998
18.0,8.5,1.4999999999999998,16.2,7.6500000000000004,1.3499999999999999,23.1,9.9,18.00105628263011,8.5264223633126708,1.5009824008995667,21.031926196069197,8.798111958849109,0.0010792414614163648,0.0061053980019420825,0.0004704519228825418,0.014162344849307729,0.065706130778088567,117.19127316331496
18.0,8.5,1.5999999999999996,16.2,7.6500000000000004,1.4399999999999997,23.1,9.9,18.001204492116962,8.5242837641189375,1.6009876969904202,21.030331862537075,8.8359743564949245,0.00086703859848314801,0.0055750541045845219,0.000432300276438908,0.01069019605992508,0.055318548189691126,116.65872895685119
18.0,8.5,1.6999999999999997,16.2,7.6500000000000004,1.5299999999999998,23.1,9.9,18.001351128009603,8.5228272838551664,1.7010117933956821,21.028844815647897,8.8629748684324632,0.00074795546946876835,0.0052068562942138227,0.00041030800336421262,0.0086463578992090791,0.04789248373091564,116.27846030492005
18.0,8.5,1.7999999999999998,16.2,7.6500000000000004,1.6199999999999999,23.1,9.9,18.001489303811049,8.5217974392172628,1.8010483225432947,21.027550855878484,8.8832405334128435,0.00067847846043810609,0.0049438480063300492,0.00039840936969154773,0.0073432487858471705,0.042346698900477542,116.02044465013105
18.0,8.5,1.8999999999999997,16.2,7.6500000000000004,1.7099999999999997,23.1,9.9,18.001618090364637,8.5210499760084968,1.9010936512302259,21.026441459157954,8.8990528611035717,0.00063776891688446617,0.0047523561841293404,0.00039333550252364219,0.006462409219717944,0.038057059386245873,115.86264268591728
18.0,8.5,1.9999999999999996,16.2,7.6500000000000004,1.7999999999999996,23.1,9.9,18.001738130974605,8.5204979016701099,2.0011455406066245,21.025488980592158,8.9117681418495405,0.00061473559744849166,0.0046114156133496929,0.00039315555759393729,0.0058396032573875848,0.034643796065109624,115.78793692394878
18.0,8.5,2.0999999999999996,16.2,7.6500000000000004,1.8899999999999997,23.1,9.9,18.001850393474982,8.5200857645618342,2.1012025172852233,21.024665604304733,8.9222420010588497,0.00060303213386044886,0.0045073694261955699,0.00039664859978666569,0.0053831131141676165,0.031864467798505838,115.78256149629165
18.0,8.5,2.1999999999999997,16.2,7.6500000000000004,1.9799999999999998,23.1,9.9,18.001955797985964,8.5197764980086106,2.2012635502986981,21.023947641411205,8.9310412916395592,0.00059882775959275969,0.0044309431747623666,0.00040299714013181614,0.0050384812712685511,0.029557464857966922,115.83519790958023
