BD_ratio,Re_ratio,Me_ratio,delta_ReB,BT_ratio,redchi2_cut,delta_nB,delta_ReD,delta_MeD,delta_MeB
0.000190601377232764,0.011111111111111112,0.8571428571428571,0.089998884012839314,0.00019056505527077696,177.809429058744,-5.5044066645743897,-0.026057317393696877,-0.00099381351904526127,6.1565605564320762
0.00019403777732776003,0.011111111111111112,0.8571428571428571,0.089996973279408948,0.00019400013397296263,177.97830820640021,-5.6514374513426429,-0.026354462164022152,-0.0010437462143926268,6.1292622515575914
0.00019741478506672067,0.011111111111111112,0.8571428571428571,0.089997986599048257,0.0001973758201616061,178.15783927576439,-5.8104724644270345,-0.026650312464850501,-0.0010942090515015934,6.1002997476859981
0.00020073535611201816,0.011111111111111112,0.8571428571428571,0.089999307745168761,0.00020069506951576898,178.32597346887582,-5.9794444772490154,-0.026942892939189278,-0.0011448891686001161,6.0700118288706744
0.00020400221059699311,0.011111111111111112,0.8571428571428571,0.08999863355223417,0.00020396060218327302,178.50019445408563,-6.1567448801827087,-0.027230743999869134,-0.0011955431319776721,6.038555749904237
0.00020721785839157632,0.011111111111111112,0.8571428571428571,0.089998053179448784,0.00020717492804667403,178.64669812563048,-6.3419164437404127,-0.02751276855992657,-0.001245981308077404,6.0070117421010547
0.00021038462101529763,0.011111111111111112,0.8571428571428571,0.089997068085003656,0.00021034036863655783,178.80046424902366,-6.5342219658842531,-0.027788110208884831,-0.0012960418246166228,5.9756585015895602
0.00021350465072099068,0.011111111111111112,0.8571428571428571,0.089996954825085101,0.00021345907621548007,178.94603784727278,-6.7334492476396903,-0.028056173172815946,-0.0013456024039584236,5.9450763011698697
0.00021657994717958992,0.011111111111111112,0.8571428571428571,0.089998269799773351,0.00021653305046295801,179.08869263962413,-6.9393425909557118,-0.028316421804602143,-0.0013945469371989816,5.9155912567963913
0.00021961237212181765,0.011111111111111112,0.8571428571428571,0.089997588751999619,0.00021956415311731863,179.22822229236363,-7.1507441050147031,-0.028568484110824244,-0.0014427759319772804,5.8863980347209655
0.00022260366223234295,0.011111111111111112,0.8571428571428571,0.089998290111333784,0.00022255412086999237,179.37224283666089,-7.3682762382426592,-0.028812217883819713,-0.0014902340638300871,5.8584704248878996
0.0002255554405431277,0.011111111111111112,0.8571428571428571,0.089998683687240316,0.00022550457675897233,179.48617507306267,-7.5912843044534259,-0.029047474994044364,-0.0015368572976477424,5.8313627448775769
0.00022846922653282768,0.011111111111111112,0.8571428571428571,0.089999295887154412,0.00022841704026831068,179.61467690180095,-7.8197904071086306,-0.029274194907415563,-0.0015825984025852335,5.8052727754159168
0.00023134644510645303,0.011111111111111112,0.8571428571428571,0.089996557198126631,0.00023129293630785996,179.72691877847066,-8.0526255016472241,-0.029492318578382637,-0.001627403876273803,5.7792425474928208
0.00023418843460260388,0.011111111111111112,0.8571428571428571,0.08999900183036727,0.00023413360322057779,179.83517538639566,-8.2921985774252924,-0.029702173666333209,-0.0016713027025687666,5.7554820541104625
0.00023699645395334511,0.011111111111111112,0.8571428571428571,0.089999036691380679,0.0002369402999424601,179.94572193301505,-8.5362443691806131,-0.029903703498602496,-0.0017142352285901552,5.7320083514496787
0.00023977168910331643,0.011111111111111112,0.8571428571428571,0.089997882174109561,0.000239714212421702,180.04457077592951,-8.7850105168061319,-0.030097028865519349,-0.001756187170904866,5.7091064419276094
0.00024251525877924467,0.011111111111111112,0.8571428571428571,0.089999383678263462,0.00024245645938825346,180.16367074049583,-9.03975906211679,-0.030282525801336391,-0.0017971932354754472,5.6877503969872052
0.00024522821968812414,0.011111111111111112,0.8571428571428571,0.089996729618103816,0.00024516809755203712,180.23880545467247,-9.2981699654769656,-0.030460156251585602,-0.0018371964624606107,5.666127449652965
0.00024791157121146438,0.011111111111111112,0.8571428571428571,0.089999254749180718,0.00024785012629722906,180.3313940424635,-9.563434888361396,-0.030630434513588156,-0.0018762723255818514,5.6466171981985429
